"投稿日時","text"
"2025/09/06 14:52","次はkiriさん。ノンプロ研最年長を更新し続ける、GAS講座1期生の同期。仕事のない日々が辛い、あるある日本のお父さんが、小学校でみんなのハイパーじぃじをやってるとこに辿り着くまでの話。もう若くはない、と絶対に言わせてくれない先輩がいるのもよい "
"2025/09/06 15:21","ノンプロキャンプ参加中。"
"2025/09/06 17:29","200名の参加者。53名の運営の方々。素敵な会場。素晴らしいイベントでした。運営の皆様お疲れ様でした。"
"2025/09/06 14:31","ノンプロ研に入って驚くのは、レベル感の幅広さ！上の人は本当にすごいし、「これ全然ノンプログラマーじゃないじゃん！」って人がゴロゴロいる😂 "
"2025/09/06 14:13","すごいやりがいあるなー"
"2025/09/06 23:28","こういう人がノンプロ研のようなコミュニティに参加して、学ぶ事へのモチベーションを保ちながらスキルアップするのがベストなのだと思う。身につけたスキルは自分だけの宝物になるから、ムダにはならない。"
"2025/08/18 12:00","🎥 ペルソナ紹介 2人目！挑戦者タイプ 🔥独学で試行錯誤しながら、無邪気に突き進む。最初は孤独でも、気づけば仲間と笑い合える。「挑戦する楽しさ」を体現する冒険者。🔹 迷い人タイプ🔹 挑戦者タイプ🔹 改革者タイプ🔹 指導者タイプあなたはどのタイプ？👀"
"2025/07/16 22:14","9月のノンプロ研のイベント　ノンプログラマーズ・テックキャンプ2025～明日への一歩につながる、ここが僕らのベースキャンプ～のビジュアルデザインを担当させていただくことになりました！✨もっかキャラクター生成しまくっています！"
"2025/09/06 14:33","コミュニティは型と軸。"
"2025/09/06 17:19","いろんなお話が聞けたけれども、なんにしても自己の向上意欲の高さがきっとみんなの取り柄なんだなーと思いながらノンプロ研の息吹に触れてみていたひとときだった。 "
"2025/09/06 13:57","二十代にしてもらったはちさん"
"2025/09/06 17:04","生成AI何に使ってる？個人・企業・会社のAI格差どうすればいい？どちらも熱く語り合えてめちゃめちゃ有意義でした彼らとともに時間を過ごせたことが最高でした"
"2025/09/06 13:26","実は、エンジニアに憧れがある"
"2025/09/06 13:04","タカハシさんのオープニング！"
"2025/09/06 20:36","ノンプロキャンプ、色んな人にあえて話せてよかった🙂ノンプロ研の人だけじゃなくて外部の人からも刺激受けました〜ありがとうございました👋"
"2025/09/06 14:25","次は末吉さんのセッション「独学でデータサイエンティストになるまで」データサイエンティストは、ノンプロ研の中の人でも希少な職種です！"
"2025/09/06 15:29","ノンプロキャンプやさしい"
"2025/09/06 16:51","いくらなんでも説明がわかりやすすぎる。ありがとうございますありがとうございます"
"2025/09/06 16:00","バックオフィス自動化が、一番投資効果がでている。"
"2025/09/06 16:00","AIネイティブ95％の会社のプロジェクトは収益改善につながっていないバックオフィスの自動化は最大のROIゼロから作り直す"
"2025/09/06 16:01","バックオフィス革命リソースは無限大に学習の結果、時間効率は良くなった、でも5分で終わる仕事が続く人類の敗北ちょっとの改善ではなく"
"2025/09/07 12:30","あんな規模になるとは思わんかったな〜楽しかったし飲みすぎたから福岡帰るか"
"2025/09/06 13:09","ここにいるだけ＝参加ではないアウトプットしましょう！・アイスブレイク・X押すと・仲間と交流＆質問・アンケート＆リフレクション"
"2025/09/06 19:52","ノンプロキャンプ参加された皆様、登壇者の皆様、運営の皆様、ありがとうございましたーーー！！！自分のキャリアの話なんぞして、面白いのか？と疑問と不安がありながらの登壇でしたが、素敵な感想いただいたりして、やって良かったなと思いました。貴重な機会を頂き、深く感謝申し上げます！"
"2025/09/06 20:01","社外のコミュニティ活動に参加して刺激をもらおうと思い立ったが吉日で、昨日ノンプロ研に入ってノンプロキャンプに参加した奴もいるんですよ。 "
"2025/09/06 13:18","ノンプロキャンプ始まりました〜"
"2025/09/06 15:20","90分でチェックイン、3人の登壇、気づきの言語化、チーム発表、応援メッセージ記入という流れがとても素晴らしいですね。この型は参考にしたい。"
"2025/09/06 22:27","というか皆さんいい人すぎたこんなにいい時間を過ごせるとは「彼かな？」と思ったらぜひフォローしてください🙋"
"2025/09/06 15:10","社長のDX５か条、学ぶ、示す、認める、支える、任せる。いいこと聞いた！"
"2025/09/06 20:29","技術同人誌書きます！目指せ技術書典"
"2025/09/06 15:38","「社長が必死で作ったアプリに現場は使いづらくても文句言えない」"
"2025/09/06 14:42","Minakoさんの発表も末吉さんの発表も、とても共感するところがたくさんあります！！"
"2025/09/06 14:18","ＤX導入後の壁を壊すには、・現場の1人目を見つける・現場のやりたいことに徹底的に寄り添う"
"2025/09/06 14:51","みんなコミュニティつながりでキャリアチェンジしてるのが共通点なのね"
"2025/09/06 14:50","ノンプロ研に入って、学び合う楽しさを知ってモチベーションが上がった"
"2025/09/07 09:08","「成果よりも楽しいを優先」内発的動機付けって、ひとによってさまざまですよね。ショートカットキーはハードルも易しく、最初の勉強会にとってもオススメだと思います。"
"2025/09/06 20:46","懇親してる2 "
"2025/09/06 15:16","「実は」で言えることが無い人生経験の薄さ"
"2025/09/05 12:41","ノンプロキャンプ、ありがたいことに増枠含めて200名満員御礼となりました🎉ありがとうございます！！！！！明日、みなさまとお会いできることを楽しみにしております～"
"2025/09/06 12:39","今日はこちらに参加します"
"2025/09/06 14:42","振り返り外の世界で、いろんな景色を見て、いろんな人の話を聞くのが大事。"
"2025/09/06 14:04","ノンプロキャンプ 時間がないは卒業 同期のはたさんが輝いている✨"
"2025/09/06 15:57","グループワークがたのしみです"
"2025/09/06 13:57","座長：いわさきさん登壇者：・Minakoさん・末吉さん・桐原さん"
"2025/09/06 16:23","さあ、ここからAppSheetです"
"2025/09/06 15:07","ITができる、というと仕事が降ってきてします。隠れキリシタン問題"
"2025/09/06 15:53","DX推進はトップダウンでもボトムアップだけでもなく、大事なのは二人三脚だった"
"2025/09/06 14:38","現場フローには背景と事情があるそれを無視して「もっと効率化しよう！」は反発必至"
"2025/09/06 22:05","初心者でもってことで参加！ゲーム感覚で、あっという間の５時間☺️やっぱり勉強って、いくつになっても必要ですね♪サイボー樹 も見れたし、運命を織る番人 って称号も貰えました笑会社で気になってたモヤモヤは、どの会社でもあることってのもわかったのも良かった👍"
"2025/09/06 12:56","オープニング直前！楽しみ！"
"2025/09/07 00:00","鬼のアウトプット率の高さはテック系のコミュニティに参加して1番感じたことデジタル？DX？何やってるか分からないって言われるあるある(?)を周囲の理解に繋げるになやって""みせる""ところで挫けてるンゴ…"
"2025/09/06 14:27","はたさん！私は先延ばしが多いです。。。時間の工夫のヒントがほしい。"
"2025/09/07 00:26","ハンズオンTAと会場内誘導を担当させていただきました。普段お会いできない方々にも会えて嬉しかったー！ありがとうございました。（もう眠くて電池切れ）"
"2025/09/06 14:32","5:00-6:30で家族が起きてくる前の時間で学んだ！"
"2025/09/06 16:05","くのーるさんのハンズオン！"
"2025/09/06 13:08","年齢、職種は違うけど、一緒に学んだ方々ともお会いできました学び、発見、感動、勇気手に入れてホームにお土産持って帰ろう"
"2025/09/06 20:23","素敵な会場でしたー「エレベーターがデカい！すげぇ！」からスタートしました！"
"2025/09/06 16:19","ノンプロ研では、GASやスプシの講座が役に立つ。コミュニティのメンバー間でもNotionやAppSheetなどが役に立っている。自分のための業務改善なら、ノンプロ研で達成できると思う。業務改善を出口に見据え、しようとしている（した）仲間もいる"
"2025/09/06 14:17","ノンプロ研に入会して2年目で、指名がありまさかのVBAの講師に！！「教えることは二度学ぶこと」を体感"
"2025/09/06 14:22","5分間の中でみんなで取り組む"
"2025/09/06 16:48","参加してます！！業務効率化の実際の事例と方法が聞けるのはありがたい🥹n8n触ってみたい。"
"2025/09/07 06:12","会いたい方にもお会いでき、とても有意義な時間でした🥹リフレクションで話した明日からできること「意識して自分のための時間を10分でも作る」そして、、運営の方々、本当に本当にお疲れ様でした✨（私はノンプロくんX（@nonprokun）の投稿を一昨日までさせていただきました🫶）"
"2025/09/06 13:20","思った以上に参加型のイベント😳 "
"2025/09/06 13:08","ノンプロキャンプ 間に合った、セーフセーフ！"
"2025/09/06 14:43","あの頃の自分にアドバイス、がめっちゃ身に染みる。IT専門職に転職して成功してる様に見えるけど、今も悩んでたりしてるんやな〜"
"2025/09/06 14:12","今回のセッション参加キッカケは私自身、プログラミングを勉強し、初心者に毛が生えた感じで知ってはいるものの、今の職場でもそうだし、IT職では全く通じない自覚があり、非IT職の方がどう学んでキャリアアップしたか興味がありました。"
"2025/09/06 15:46","書籍コーナーに私の本が並んでる！よかったら購入してね！"
"2025/09/06 14:34","成長期 外に飛び出して世界が広がった本を読むだけでアウトプットが少なかったが、他のコミュニティで学んだ写経が有効だった。"
"2025/09/06 13:25","ゼロからのDX登壇します！"
"2025/09/06 19:54","ノンプロキャンプゲームのアプリのやつ、今日だけじゃなく遊びたいなー"
"2025/09/07 00:36","無事帰宅ー濃い１日でした！こちらは今日の戦利品(?)"
"2025/09/07 08:04","fumさんの登壇内容の「ノンプロ研究30年分の会費を回収」というインパクトの大きさ。"
"2025/09/06 15:21","Q:バイブコーディングが流行りだが、写経のような基礎的なプログラミング知識を身につける必要はあるかA:AIが出したコードが正しいかどうかが判断するためには必要だと思う"
"2025/09/06 15:01","Q「定年退職の10年前の自分にかけたい言葉は？」kiriさん「知らない人とどんどん交流してほしい。様々な変化が起きる」これは中の人にも参考になります。"
"2025/09/06 13:25","実は、最初はSEープログラマーになるはずだったのに才能が無さすぎた"
"2025/09/06 18:13","懇親してる "
"2025/09/06 16:57","ノンプロキャンプ トレンド入りおめでと〜"
"2025/09/06 14:17","G20サミットの臨時職員で出向か。凄まじい交渉力だ。"
"2025/09/06 14:14","ショートカット練習本があるんだー"
"2025/09/06 14:33","はたさんの発表、なんて眩しいんや。。最近勉強してない自分や、何もせずくさくさしてる自分に刺さりすぎる。。明日から自分の時間を捻出しようかな😊"
"2025/09/06 14:28","スエヨシさん、データサイエンティストに転職！めっちゃ専門職やん。すごい！！最初はやりたいことが見つからずモヤモヤしてたらしい。"
"2025/09/06 15:24","翻訳も自動でやってくれるが、合ってるかどうかは自分で判断しないといけないこれわかる日本語⇔英語はある程度は分かるけど、中国語とか、まったく学んでいないと合ってるかどうか分からなくて自動翻訳あっても実務では使えないもんね"
"2025/09/06 15:54","freeeloverさんより「バックオフィスで革命を起こす」"
"2025/09/06 14:23","aliceさんのつぎはazumiさん！十二時前までスライド作ってた"
"2025/09/06 13:20","AppSheetの本を購入したきっかけで本日参加したウタさんの行動力すごい！！！"
"2025/09/06 15:06","様々な感情を糧に本気に！"
"2025/09/06 12:02","ノンプロキャンプもうすぐ受付開始です😊"
"2025/09/06 14:21","ショートカットキー勉強会の参考"
"2025/09/06 14:59","会社員は時代は変化を恐れていたが、定年退職後は、人生を再構築するチャンス自分を変化させるために、色々チャレンジしていこう"
"2025/09/06 16:07","ツールの組み合わせで業務を自動化するスキルが欲しいです。"
"2025/09/06 14:22","ノンプログラマーの転職活動で悩まれている方からのご質問。無料でお勧めのイベントなどありますか。"
"2025/09/06 13:38","本日会場協賛をいただきました、サイボウズ様の製品案内ページです。業務効率化やDXには不可欠なツールです！ぜひこちらもご覧になってください。"
"2025/09/06 14:32","copilotのコミュニティがないなら作ればいい→なんでもcopilot爆誕運営にはノンプロ研を参考にした"
"2025/09/06 14:15","VBAの本に出会ってツールを増やせた！けど…「動かないけど」と言われ直す日々。そこでフナさんの前に現れたのは、VBAができる人！が入社される。これはラッキー！"
"2025/09/06 16:25","くのーる「画面のことは3つ覚えれば大丈夫！」"
"2025/09/06 15:58","今日は名刺管理アプリをAppSheetでつくります。"
"2025/09/06 13:23","ノンプロクエスト3/9Done！"
"2025/09/06 15:17","家事や育児、奥さんのせいにしている自分がいると気づきました。いつも本当にありがとうございます。すいませんでした。"
"2025/09/06 16:55","fleeeloverさん「バックオフィスは会社を維持するために必要な部門。社内で業務改善が一番しやすい部門だと、今日のお話を聞いて感じた。業務改善を自分たちで行う事で、会社が外に発信するための力をつけていけると思った」"
"2025/09/06 15:04","社員、現場スタッフにも隠れたポジティブな改革のモチベーションは意外とあることが社内アンケートで分かった。評価→給与アップというような人事制度にストレートに繋げられる状況はむしろ少ないと思う。「これくらいだったらできない？」とスモールステップで提案してみる "
"2025/09/06 14:54","ノンプロ研学習が楽しい安全安心なコミュニティコミュニティの入口としてはちょうどいいのかも"
"2025/09/06 16:52","失敗事例からは学びが多い。コミュニティーだからこそ失敗事例が得られる。"
"2025/09/06 15:34","サイボウズさんのブースにあるデジタルミキサー。こんなの始めて触る"
"2025/09/06 14:31","azumiさんが仲間と出会って変わったこととして挙げられていた「仲間がいるから続けられる」「世界が広がる」、これですよねー"
"2025/09/06 14:33","自分が有識者である必要はない有識者は勝手に知識を共有してくれる2人から1700名に"
"2025/09/06 13:28","行動規範、「その行動、思いやりと対話があるか？」"
"2025/09/06 14:32","Copilotのコミュニティがなかった一緒に勉強できる仲間が欲しい#なんでもCopilot コミュニティを主催ノンプロ研で学んだ型を参考に、コミュニティを主催した"
"2025/09/06 21:15","面接受けるにあたって、その会社のプロダクトを使ったことがないのはダメだと説教を受け、生まれて初めて車のディーラーの予約をした。"
"2025/09/06 10:20","イベントのパンフレットもろた"
"2025/09/06 19:17","「あなただけのプロローグ」すごいぞ👍"
"2025/09/06 16:06","休日もn8nを学ぶ！！🔥🔥🔥"
"2025/09/06 16:34","何回でも聞きたいやーつ "
"2025/09/06 16:23","誰が？どう使う？何が改善される？使用者を定めてそのニーズを把握する事が重要。これは要件定義とよばれるものですね。"
"2025/09/06 13:03","ノンプログラマーテックキャンプ❕職場とはちょっと違う雰囲気の皆さんとお会いしましたー楽しみましょ🩷楽しみましょ🩷"
"2025/09/06 16:26","他人が使うツールの要件定義、むずい。「作る」ための技術＋作るまえの「コミュニケーション」が必要。"
"2025/09/06 16:51","自分がどうなりたいかっていうのは本当に大切だと思います。"
"2025/09/06 16:37","fumiさん3時間のFAX仕分け作業をVBAで5分に改善手作業で、FAXを毎日、日付別、店舗別にExcelに転記Outlookと Excelを連動して、紙仕分けなくなる3時間から５分に短縮"
"2025/09/06 16:29","失敗してもお付き合いは続く、、、、なぜ、しくじり話はこんなにも、ためになるのでしょう？？"
"2025/09/06 13:21","かなり参加型です！"
"2025/09/07 22:37","おおおおお～～～！！"
"2025/09/06 17:09","生成AI、まだまだ普及の壁はありそう。一方で当たり前になりつつあるシーンや現場も多い。個人で頑張るしかないというのは確かにそうだが、社会や組織としてもっと活用を促す知恵と行動がいる。 "
"2025/09/06 14:17","ノンプロ研に入会したきっかけはGAS。主催のタカハシさんが執筆した書籍がきっかけ。やがていろんなツールを導入したりGASがかけた事もあり、情シスに転職"
"2025/09/06 17:41","アイスブレイクやると主宰の言う事を聞かなくなる件"
"2025/09/06 15:22","AIが出してきたコードを評価する力は必要"
"2025/09/06 14:53","あなたは本気になれてますか？"
"2025/09/06 16:57","バックオフィスはコストセンターか？コストセンターではあるが、そこから出る付加価値は多い"
"2025/09/06 17:01","挫けても諦めないノンプロ研の会費はむだになりませんwバックオフィスは色々な可能性のある場所。AIを使って業務をゼロベースで設計し直したらというきっかけになれば"
"2025/09/06 16:46","ただしこの話題を思い出したきっかけは、それを部長に見せたら「事務の人たちの仕事がなくなってしまう」と笑顔で却下になったの。気の知れた上司だったので自分も笑って終わったのが幸いなのと、そのとき不思議に思ったことがちょっと腑に落ちる感ある。"
"2025/09/06 13:52","＃ノンプロキャンプ 非IT職からのキャリアアップ事例共有会 PARK会場"
"2025/09/06 14:33","他の人がどんな勉強をしているか？を知れるのがコミュニティの利点"
"2025/09/06 16:32","3時間のFAX仕分け作業をVBAで5分にした話。"
"2025/09/06 20:26","DXとかAIの話は会社で話しても通じないが、こういう場だと初めて会った人とも話が通じる不思議さよ。"
"2025/09/06 14:53"," 「本気のスキル」が必要。すべてのチャレンジの根源、エネルギー源"
"2025/09/05 10:18","いよいよ明日はノンプロキャンプ！！私はPARKの誘導係です！色々な方にお会いできるのを楽しみにしています✨自分でデザインしたキャラクターがアプリになって感動しています😍😍😍"
"2025/09/06 14:37","順調にキャリアを進めていたが、停滞期が訪れる。生成AIの登場がきっかけで、データサイエンティストに求められる役割が変わった。データを分析する案件ではなく、データを活用する案件が増えた。"
"2025/09/06 13:19","じゃんじゃんポストします！あほみたいにポストします！"
"2025/09/06 20:27","楽しかったー初めて出会う人や、久しぶりに会う方との交流、とっても刺激になりました明日からまた楽しく学ぶ日が送れそうです"
"2025/09/06 15:39","次はこれでますー"
"2025/09/06 15:04","情シス時代にマニュアルを見ながら修理していたのを見ていたら、大した事なかったｗ"
"2025/09/06 13:02","始まりました。"
"2025/09/06 15:15","ノンプロ研入ってくださーい"
"2025/09/06 14:35","AIの時代は行動することに価値がある✨"
"2025/09/06 15:04","定年退職してからボランティア活動→事業化という必要されているターゲットに着目して動けたからできたものだな、、、、ってなった。"
"2025/09/06 13:27","ノンプログラマーズテックキャンプ2025 に参加ちう。最近社外の人と交流が減ってるで刺激にしたい！"
"2025/09/06 13:25","ドキドキする！ノンプロクエストは無事動くのか！"
"2025/09/06 13:07","ベースキャンプは高みを目指すための準備を整える場"
"2025/09/06 15:10","やはり越境学習、大事だわ。"
"2025/09/06 14:20","10-12人ぐらい。電話で中断することも。それはそれで良いとする😆1日5分でも成果出る"
"2025/09/06 14:47","現場からデータを集めて効率化するのがデータサイエンティストであり、ロジカルを組み立て実際うまく組み合わさることがパズルを解くみたいで楽しいとのこと。（ちょっとニュアンス違うかも）"
"2025/09/06 13:50","ノンプロキャンプ参加してます。楽しそうなコンテンツいっぱい！"
"2025/09/06 16:04","そうだよ、そうだよ！「並列かつ自律的に動く存在」が欲しい！！！(＞人＜;)世間のAIエージェントはまだ役不足、、、"
"2025/09/06 15:05","舞鶴市のChromebook を全庁導入"
"2025/09/06 11:20","一足早くお昼ごはん"
"2025/09/06 14:42","実は…今はIT系の勉強あんまりできてなく、英会話に逃げたりしてます"
"2025/09/06 17:59","ふりかえりの時間解決策は組織の外にある、外の環境に飛び込む一歩と、仲間と2人で飛び込む一歩。成果が出るまでのツライ期間、2人目がいると乗り越えられる！"
"2025/09/06 14:29","製造の生産技術だったが、なんかこれじゃないと感じていた。"
"2025/09/06 13:53","最近幽霊部員だったので、これをきっかけに復活！的な感じ？"
"2025/09/06 14:10","産後うつ本当に大変だよな。。。"
"2025/09/06 15:41","どの登壇者の方も素晴らしいと思えてしまうのは、そういう人が集まるコミュニティだからなのだろうな。"
"2025/09/07 22:07","実はアプリを開発するのは初めてで、AIでただのモックを作ったはずが、まさかほんとに完成して、デビュー作がこんなに多くの方に遊んでもらえるとは。そして自分でちゃんとクエストをやるのも今が初めて。笑"
"2025/09/06 16:32","最後はfumiさんの「3時間のFAX仕分け作業をVBAで５分に改善」です！3時間のFAX仕分け...気が遠くなりそうですね..."
"2025/09/06 13:58","イワサキさん「質問は正義！」皆さんぜひ質問をしてくださいね。"
"2025/09/06 16:27","自分の業務改善と他人のために行う業務改善は別物コミュニティでも情報を聞くことも重要。そして「くじけてもあきらめない！」究極のスキルはこれですw"
"2025/09/06 15:55","セッションのゴールは、バックオフィスから革命を起こす"
"2025/09/07 08:05","1年後の私は社内勉強会を開いているはず！みんなのExcelスキルが上がって、よりスムーズに連携とれてるよね"
"2025/09/06 15:55","後半は「予算ほぼゼロ！バックオフィス業務改善・成功事例集」を観覧に。業務改革ってどうやって進んでいくものなんだろう、みたいな気持ちがあって。"
"2025/09/06 13:21","100人以上いる会場で、アイスブレイクあるのは面白いw"
"2025/09/06 16:38","バックオフィスの改善で必要なこと孤立しない、大切。他の人に負担をかけない。決定権者を味方につける。"
"2025/09/06 15:47","後半は迷ったけど、AIアイディアソンに参加します！"
"2025/09/06 15:57","予算ほぼゼロのバックオフィス業務改善！フロントの仕事してるのでバックオフィスの話が聞ける、というのは面白そう。"
"2025/07/19 12:27","ロゴは作るものって思ってたけど、生成でもいいのではという気がしてきて色々作ってみた！「TECH CAMP　2025　NON-PROGRAMMERS'」という文字を入れて、プログラミングやAIの要素も追加してと言ってできたのがこちら！"
"2025/09/06 14:49","忙しい職場の皆さんへ。時間をゼロから生み出すにはまず、装備と環境を整えてみましょう。モノを探しながら作業するのは効率が悪いので、普段から整理整頓しましょう。"
"2025/09/06 13:46","Park会場では「非IT職からのキャリアアップ事例共有会」のセッションを行います。実は ノンプロ研 に入会したことをきっかけに、キャリアアップ・キャリアシフト・転職を行い、活躍をしているメンバーも多数います。そんな皆さまの事例を紹介いたします！"
"2025/09/06 13:56","元教師の座長イワサキさんから、登壇者の発表です！"
"2025/09/06 14:35","いろんな社外の勉強コミュニティに入る。そのうちの1つがノンプロ研で、プログラミングの理解が一気に進む。やがてそれら社外のコミュニティの縁で、データサイエンティストとしてのキャリアチェンジを果たす。製造業の知見も役に立つ。製造もデータの集まりですね。"
"2025/09/06 14:51","｢時間がない｣から卒業するにはとにかくやってみるというスキルを使う。そういえば、やる気スイッチって、何かをやり始めないと起動しないらしい"
"2025/09/06 14:32","データサイエンスや機械学習、そしてそれらを専門にしている職業があることを知る。しかし書店でそれっぽい本を買って、孤独にPythonなどを学習する日々...しかしデータ分析関連の仕事に就くことはできた。"
"2025/09/06 14:38","社長がすべき5つのこと①学ぶ学習の場に身を置く、アンテナを磨く"
"2025/09/06 14:43","3人目はタカハシさん。時間がなくても大丈夫！10個の小さな明日への一歩"
"2025/09/06 16:27","他人のための業務改善は、ノンプロ研での講座+コミュニティ活動が重要"
"2025/09/06 14:34","ノンプロ研イベント「ノンプログラマーズ・テックキャンプ2025」『ゼロからのDX』、各会社の悩みやDXの取組み、とても楽しい！"
"2025/09/06 15:33","飛び地じゃなくて、かけ算でキャリアアップを図りたい。"
"2025/09/06 13:05","タカハシさん「ノンプログラマーがデジタルやIT,AIのスキルを身に着けるには結構なハードルがある。周りに相談ができる人がいなかったり、評価できる人がいなくて、孤独だったり...」"
"2025/09/06 14:28","｢とにかく点を打とう｣気になるキーワードです"
"2025/09/06 16:42","ノンプロ研は情報の洪水。泳げば力になる。"
"2025/09/06 14:47","桐原さんたしかノンプロ研最年長じゃなかったっけ？"
"2025/09/06 15:06","「ITに強い人がいない」→過度な期待を持たれたくないためにできるのに隠してるケースや、今まで触れてなかっただけで、やってみたらできるケースもある。"
"2025/09/06 13:50","実はFRPアーティストと会社設立準備中！「世界のオタクに届け！サイバーパンク」、わからないことだらけで行動遅かったり凄い人たちにヒヨったりしてますが、日々もがいて進んでます！"
"2025/09/06 17:33","学びにも遊びの要素を"
"2025/09/06 14:12","Aliceさん職場でショートカットキーの勉強会をやってみたはなしみんなで、毎日5分、記録する。コミュニケーションのきっかけになるやった分だけできるようになる仕事を頼むことも楽になる"
"2025/09/06 14:26","踏み出したきっかけ入社1年目でlookupに感動独学でExcelと名のつく本を買い漁る社内勉強会を開くツールを量産する仲間が欲しくて、ノンプロ研に参加"
"2025/09/06 14:05","「時間がない」は卒業！小さなスキルから始める人生逆転ロードマップ始まります！"
"2025/09/06 16:00","おー、95%のAI利用は失敗。耳が痛い、、、、いたたた、、、"
"2025/09/06 15:37","後半のPark会場は、「予算ほぼゼロ！バックオフィス業務改善・成功事例集」です！予算0で頑張っている人も多いのではないでしょうか。これはまた楽しみな内容です！"
"2025/09/06 14:49","次はkiriさんの「定年退職後の挑戦 ～私のセカンドキャリアの歩み方～」です。現在69歳で定年退職後も大活躍をされています！"
"2025/09/06 16:00","生成AIを使っても95%は収益向上に貢献できていない。しかしバックオフィスは最も効果が出ているらしいとのこと。そんためAIネイティブでゼロベースで考えていく。"
"2025/09/06 13:26","ノンプロ研テックキャンプ、チェックインしたー！"
"2025/09/06 15:47","アイデアソンとは。。テーマについてみんなでアイデアを出し合うグループワーク"
